School_Year,OPT Code,Total Field Trips,Total Vehicles,Total Passengers,Unique Destinations
2022-2023,24153,61,76,2915,38
2022-2023,02183,27,27,789,11
2022-2023,11001,2,3,91,2
2022-2023,10340,43,57,1382,7
2022-2023,20750,7,10,282,5
2022-2023,19364,12,23,733,11
2022-2023,08562,2,2,66,1
2022-2023,05286,1,1,26,1
2022-2023,21727,1,1,9,1
2022-2023,22217,24,38,1146,7
2022-2023,30443,559,562,8255,28
2022-2023,02126,14,22,697,11
2022-2023,09451,5,17,608,4
2022-2023,16898,10,26,855,10
2022-2023,08146,7,12,345,7
2022-2023,07704,3,6,203,2
2022-2023,27519,3,4,127,3
2022-2023,06006,2,11,464,2
2022-2023,22703,9,24,848,7
2022-2023,01659,4,8,232,2
2022-2023,27416,1,5,125,1
2022-2023,02983,1,3,88,1
2022-2023,13595,4,17,665,4
2022-2023,30802,8,9,260,8
2022-2023,30424,71,140,4032,4
2022-2023,03325,3,5,71,3
2022-2023,30151,8,21,401,7
2022-2023,25459,152,155,1830,5
2022-2023,13029,1,3,80,1
2022-2023,24009,15,21,565,13
2022-2023,25717,4,9,322,3
2022-2023,16360,21,22,460,6
2022-2023,06578,2,8,270,2
2022-2023,17652,2,9,347,1
2022-2023,06013,8,32,1175,5
2022-2023,21805,11,30,1204,5
2022-2023,07657,9,25,893,6
2022-2023,11647,1,1,35,1
2022-2023,08420,1,2,42,1
2022-2023,10331,14,29,762,11
2022-2023,19431,1,1,21,1
2022-2023,19583,7,14,455,6
2022-2023,09232,12,31,843,9
2022-2023,19793,2,4,135,2
2022-2023,11002,25,32,975,7
2022-2023,20939,8,13,271,5
2022-2023,28461,3,3,32,3
2022-2023,19190,6,11,344,5
2022-2023,11543,6,10,285,6
2022-2023,03291,4,11,418,4
2022-2023,32162,4,7,191,3
2022-2023,12466,4,11,275,3
2022-2023,08093,3,4,109,3
2022-2023,10209,17,41,1229,4
2022-2023,31016,39,55,1509,30
2022-2023,01465,1,1,17,1
2022-2023,04385,6,13,413,6
2022-2023,29135,12,17,377,5
2022-2023,08718,1,4,172,1
2022-2023,24236,8,14,546,7
2022-2023,04433,3,6,165,3
2022-2023,18706,4,7,259,4
2022-2023,03420,12,14,335,8
2022-2023,06014,2,10,377,2
2022-2023,06002,3,3,48,3
2022-2023,05565,1,1,22,1
2022-2023,29805,31,38,1003,19
2022-2023,21984,1,6,264,1
2022-2023,20185,2,2,11,1
2022-2023,10360,14,27,654,9
2022-2023,10268,1,5,200,1
2022-2023,15650,1,3,112,1
2022-2023,15559,2,5,140,2
2022-2023,25765,13,27,889,11
2022-2023,31019,38,41,1030,17
2022-2023,07154,14,33,1089,12
2022-2023,09558,5,10,379,5
2022-2023,08012,1,3,102,1
2022-2023,27731,3,10,388,3
2022-2023,14018,16,31,1059,11
2022-2023,25419,2,3,80,2
2022-2023,21724,29,76,2860,14
2022-2023,07548,3,4,96,3
2022-2023,07031,11,23,706,9
2022-2023,10377,21,48,1688,9
2022-2023,28815,1,3,121,1
2022-2023,11686,17,48,1522,10
2022-2023,28451,1,1,11,1
2022-2023,06513,42,78,2411,5
2022-2023,05129,79,96,1783,6
2022-2023,27540,4,7,206,3
2022-2023,31028,18,26,801,11
2022-2023,04685,35,35,365,3
2022-2023,02167,4,7,216,2
2022-2023,31467,55,63,916,3
2022-2023,10703,4,4,102,2
2022-2023,26440,5,16,442,3
2022-2023,04610,5,7,136,4
2022-2023,06293,133,133,399,1
2022-2023,12443,6,7,234,6
2022-2023,07369,18,27,826,12
2022-2023,23392,5,11,363,5
2022-2023,17354,8,19,639,4
2022-2023,04661,4,8,225,4
2022-2023,02210,2,2,61,2
2022-2023,09073,11,19,536,5
2022-2023,30605,6,17,683,6
2022-2023,22809,34,36,1035,6
2022-2023,20739,8,34,1328,5
2022-2023,11112,6,10,367,4
2022-2023,17031,1,1,18,1
2022-2023,18279,17,24,641,16
2022-2023,29313,7,12,369,5
2022-2023,11160,7,24,702,4
2022-2023,13674,6,14,368,6
2022-2023,17027,4,10,304,3
2022-2023,27064,22,45,1491,17
2022-2023,08069,4,8,230,4
2022-2023,23001,4,17,560,4
2022-2023,15321,70,77,2426,35
2022-2023,13669,8,32,820,6
2022-2023,17549,144,144,1802,4
2022-2023,17025,1,2,50,1
2022-2023,28144,65,152,4833,28
2022-2023,30019,3,7,202,2
2022-2023,11096,21,73,2856,11
2022-2023,30700,7,13,384,7
2022-2023,23298,4,13,507,4
2022-2023,28679,68,69,1120,6
2022-2023,22715,2,6,206,1
2022-2023,31005,15,24,568,8
2022-2023,02455,1,2,50,1
2022-2023,24661,20,30,627,14
2022-2023,19551,3,13,506,2
2022-2023,07233,5,11,290,4
2022-2023,24044,1,1,14,1
2022-2023,05754,2,7,280,2
2022-2023,06102,2,4,154,2
2022-2023,08467,17,36,1401,9
2022-2023,31463,39,39,510,4
2022-2023,21707,9,31,1195,5
2022-2023,20893,1,7,308,1
2022-2023,06178,52,76,2079,24
2022-2023,06265,1,3,92,1
2022-2023,13655,1,1,30,1
2022-2023,32274,6,12,294,6
2022-2023,12438,1,1,35,1
2022-2023,02397,3,4,119,3
2022-2023,09324,13,23,812,11
2022-2023,31734,11,13,357,8
2022-2023,28802,2,2,58,2
2022-2023,22461,32,56,1045,5
2022-2023,13350,3,6,196,3
2022-2023,01188,31,31,771,3
2022-2023,17702,3,15,526,1
2022-2023,29181,10,24,679,4
2022-2023,07609,10,47,1746,7
2022-2023,31074,8,13,395,5
2022-2023,21730,1,4,160,1
2022-2023,09462,2,4,40,2
2022-2023,02911,2,2,46,2
2022-2023,30152,8,16,519,6
2022-2023,21097,35,85,3162,15
2022-2023,11514,9,16,492,8
2022-2023,11006,4,9,324,3
2022-2023,27009,7,7,109,2
2022-2023,22152,12,26,739,7
2022-2023,08453,83,154,2768,5
2022-2023,27520,11,22,683,11
2022-2023,15801,11,15,426,10
2022-2023,31054,59,113,3626,26
2022-2023,07179,11,19,573,9
2022-2023,21740,22,39,1361,10
2022-2023,12546,13,23,725,9
2022-2023,10719,4,6,176,4
2022-2023,02605,1,2,31,1
2022-2023,15570,1,1,16,1
2022-2023,31172,3,7,208,2
2022-2023,11655,256,260,3239,17
2022-2023,25201,7,14,460,6
2022-2023,05086,1,4,136,1
2022-2023,20186,17,43,1495,10
2022-2023,20227,4,22,855,3
2022-2023,24021,18,30,690,13
2022-2023,04112,60,197,1271,12
2022-2023,06192,3,6,180,2
2022-2023,11508,2,4,154,2
2022-2023,27973,2,2,42,2
2022-2023,10546,4,5,156,4
2022-2023,07161,4,10,353,4
2022-2023,11127,29,77,2699,15
2022-2023,21128,19,36,1083,13
2022-2023,25912,146,146,837,10
2022-2023,03149,34,35,912,9
2022-2023,10492,13,15,347,2
2022-2023,11513,8,12,358,7
2022-2023,05481,3,9,330,2
2022-2023,30227,35,70,2325,15
2022-2023,29844,10,23,748,8
2022-2023,01817,5,7,155,5
2022-2023,15447,6,6,198,3
2022-2023,30092,27,51,1480,11
2022-2023,18068,3,6,207,3
2022-2023,02714,3,5,204,3
2022-2023,10059,9,9,282,6
2022-2023,28522,14,15,416,13
2022-2023,14126,5,9,289,4
2022-2023,27316,35,62,1981,22
2022-2023,32151,83,115,3051,25
2022-2023,03087,35,40,1159,14
2022-2023,02530,2,2,50,1
2022-2023,03199,37,37,1134,7
2022-2023,09569,37,49,1329,12
2022-2023,21845,10,12,327,10
2022-2023,22446,2,2,26,2
2022-2023,27273,7,21,671,6
2022-2023,27723,2,6,205,2
2022-2023,32784,4,6,233,2
2022-2023,08392,23,59,1970,14
2022-2023,10009,5,19,680,3
2022-2023,22755,1,1,24,1
2022-2023,02169,37,40,1064,4
2022-2023,24732,3,12,430,3
2022-2023,13461,1,2,44,1
2022-2023,31997,2,2,20,1
2022-2023,02138,6,6,73,4
2022-2023,27053,10,17,560,10
2022-2023,26162,9,13,445,6
2022-2023,29156,15,28,844,10
2022-2023,11455,39,41,760,9
2022-2023,02875,1,2,73,1
2022-2023,17720,5,21,820,4
2022-2023,27351,3,5,94,3
2022-2023,20727,1,4,165,1
2022-2023,09361,41,59,1997,9
2022-2023,15734,1,13,550,1
2022-2023,18211,2,7,276,2
2022-2023,25450,161,161,2801,4
2022-2023,28687,7,9,301,4
2022-2023,19655,14,39,1413,10
2022-2023,17601,11,23,723,6
2022-2023,07475,17,30,771,14
2022-2023,11078,7,16,510,5
2022-2023,28101,34,56,1969,13
2022-2023,09250,15,28,1016,13
2022-2023,21677,29,33,770,15
2022-2023,28541,6,12,166,6
2022-2023,22240,19,32,1210,15
2022-2023,09468,1,2,65,1
2022-2023,27565,7,14,395,6
2022-2023,28725,12,33,1158,9
2022-2023,22431,2,6,191,2
2022-2023,29341,89,171,5977,27
2022-2023,17745,5,27,1119,3
2022-2023,12721,1,1,37,1
2022-2023,09725,10,24,878,8
2022-2023,27466,1,2,26,1
2022-2023,29416,1,5,185,1
2022-2023,11144,11,17,352,8
2022-2023,15789,5,7,141,3
2022-2023,05362,1,3,108,1
2022-2023,19292,4,5,132,3
2022-2023,06098,10,10,310,4
2022-2023,26711,11,13,472,4
2022-2023,07623,8,21,715,3
2022-2023,20056,1,1,7,1
2022-2023,07021,4,8,284,3
2022-2023,03673,4,6,196,3
2022-2023,02532,2,4,98,2
