BOROUGH,Community School District,Children aged 4-10 contributed per housing unit,Children aged 11-13 contributed per housing unit,Children aged 14-17 contributed per housing unit,Data As Of
MANHATTAN,,0.12,0.04,0.06,09/12/2017
BRONX,,0.39,0.16,0.19,09/12/2017
BROOKLYN,,0.29,0.12,0.14,09/12/2017
QUEENS,,0.28,0.12,0.14,09/12/2017
RICHMOND,,0.21,0.09,0.14,09/12/2017
NEW YORK CITY,,1.29,0.53,0.67,09/12/2017
MANHATTAN,,0.12,0.04,0.06,06/04/2015
BRONX,,0.39,0.16,0.19,06/04/2015
BROOKLYN,,0.29,0.12,0.14,06/04/2015
QUEENS,,0.28,0.12,0.14,06/04/2015
RICHMOND,,0.21,0.09,0.14,06/04/2015
NEW YORK CITY,,1.29,0.53,0.67,06/04/2015
Manhattan,1,0.05,0.03,0.02,03/13/2019
Manhattan,2,0.05,0.02,0.02,03/13/2019
Manhattan,3,0.06,0.03,0.02,03/13/2019
Manhattan,4,0.13,0.05,0.02,03/13/2019
Manhattan,5,0.16,0.06,0.02,03/13/2019
Manhattan,6,0.15,0.06,0.02,03/13/2019
Bronx,7,0.37,0.19,0.15,03/13/2019
Bronx,8,0.31,0.15,0.15,03/13/2019
Bronx,9,0.34,0.11,0.15,03/13/2019
Bronx,10,0.33,0.12,0.15,03/13/2019
Bronx,11,0.26,0.11,0.15,03/13/2019
Bronx,12,0.33,0.13,0.15,03/13/2019
Brooklyn,13,0.07,0.03,0.08,03/13/2019
Brooklyn,14,0.07,0.02,0.08,03/13/2019
Brooklyn,15,0.18,0.04,0.08,03/13/2019
Brooklyn,16,0.12,0.08,0.08,03/13/2019
Brooklyn,17,0.24,0.09,0.08,03/13/2019
Brooklyn,18,0.27,0.16,0.08,03/13/2019
Brooklyn,19,0.38,0.15,0.08,03/13/2019
Brooklyn,20,0.31,0.07,0.08,03/13/2019
Brooklyn,21,0.24,0.07,0.08,03/13/2019
Brooklyn,22,0.27,0.11,0.08,03/13/2019
Brooklyn,23,0.27,0.16,0.08,03/13/2019
Brooklyn,32,0.18,0.04,0.08,03/13/2019
Queens,24,0.23,0.1,0.13,03/13/2019
Queens,25,0.23,0.08,0.13,03/13/2019
Queens,26,0.31,0.14,0.13,03/13/2019
Queens,27,0.31,0.14,0.13,03/13/2019
