PROJECT NUMBER,BUILDING ID,PROJECT DESCRIPTION,SCHOOL NAME,SCHOOL ADDRESS,SED APPROVED ESTIMATE,DATE APPLICATION SUBMITTED TO SED,BOROUGH,POSTCODE,LATITUDE,LONGITUDE,COMMUNITY BOARD,COUNCIL DISTRICT,CENSUS TRACT (2020),BIN,BBL,NTA (2020)
1EJQ,K435,AUDITORIUM UPGRADE - REPLACE AND UPGRADE AUDITORIUM SOUND SYSTEM AND LIGHTING.,PERFORMING ARTS AND TECH. HS -,400 PENNSYLVANIA AVENUE,65843,03/07/2023,BROOKLYN,11207,40.667456,-73.894747,305,42,1156,3084440,3037880001,BK0502
1EJR,Q268,ARCHITECTURAL AND BARRIER REMOVAL,P.S. 268 - QUEENS,92-07 175 STREET,150104,03/07/2023,QUEENS,11433,40.707537,-73.785626,412,27,444,4217573,4102150001,QN1201
1EJT,K171,GYMNASIUM UPGRADE,I.S. 171 - BROOKLYN,528 RIDGEWOOD AVENUE,157701,03/07/2023,BROOKLYN,11208,40.68618,-73.869625,305,37,1184,3092456,3041340020,BK0501
1EJU,Q015,LIBRARY RECONSTRUCTION AND UPGRADE,P.S. 15 - QUEENS,121-15 LUCAS STREET,184079,03/07/2023,QUEENS,11413,40.686047,-73.757423,412,27,376,4273142,4126720001,QN1205
1EJV,M477,SCIENCE LAB UPGRADE,STUYVESANT HS - MANHATTAN,345 CHAMBERS STREET,79153,03/07/2023,MANHATTAN,10282,40.7177,-74.01399,101,1,31703,1084587,1000160215,MN0101
1EJW,K455,INDOOR BUILDING IMPROVEMENT - CONVERSION OF ADMINISTRATIVE SPACE INTO CLASSROOMS,BOYS & GIRLS HS - BROOKLYN,1700 FULTON STREET,158335,03/07/2023,BROOKLYN,11213,40.67944,-73.932407,303,36,271,3047996,3017010001,BK0302
1EJX,K555,SCIENCE LAB UPGRADE,BROOKLYN COLLEGE ACADEMY - K,2900 BEDFORD AVENUE,191780,03/07/2023,BROOKLYN,11210,40.63176,-73.952667,314,45,772,3347326,3075520100,BK1401
1EJY,K101,AIR CONDITIONING SPLIT SYSTEM,P.S. 101 - BROOKLYN,8696 24TH AVENUE,32700,03/07/2023,BROOKLYN,11214,40.597133,-73.991614,311,43,302,3427175,3068750032,BK1103
1EJZ,K371,INDOOR BUILDING IMPROVEMENT - CONVERSION OF ADMINISTRATIVE SPACE INTO CLASSROOMS,P.S. 371 (OLD 615K),355 37 STREET,95000,03/07/2023,BROOKLYN,11232,40.654293,-74.005889,307,38,84,3337059,3006960031,BK0702
1EK0,Q205,LIBRARY RECONSTRUCTION AND UPGRADE,P.S. 205 - QUEENS,75-25 BELL BOULEVARD,123402,03/07/2023,QUEENS,11364,40.737678,-73.756791,411,23,129103,4164007,4077530001,QN1104
1EK1,M165,CAFETARIA/MULTI PURPOSE,P.S. 165 - MANHATTAN,234 WEST 109 STREET,22858,03/07/2023,MANHATTAN,10025,40.802917,-73.965613,107,7,195,1056676,1018800013,MN0703
1EK2,R005,INDOOR BUILDING IMPROVEMENT - RECONSTRUCTION OF TOILETS,P.S. 5 - STATEN ISLAND,348 DEISIUS STREET,325679,03/07/2023,STATEN IS,10312,40.530169,-74.187635,503,51,176,5082407,5065660001,SI0304
