SchoolDBN,Total # Consented Students YTD,Grade 01,Grade 02,Grade 03,Grade 04,Grade 05,Grade 06,Grade 07,Grade 08,Grade 09,Grade 10,Grade 11,Grade 12,American Indian or Alaska Native,Asian or Pacific Islander,"Hispanic, of any race",Black or African American,Two or More Races,White,Missing Race/Ethnicity,IEP,LEP,Shelter,STH; Not Shelter,Total # Consents Withdrawn,Grade 01 1,Grade 02 1,Grade 03 1,Grade 04 1,Grade 05 1,Grade 06 1,Grade 07 1,Grade 08 1,Grade 09 1,Grade 10 1,Grade 11 1,Grade 12 1,American Indian or Alaska Native 1,Asian or Pacific Islander 1,"Hispanic, of any race 1",Black or African American 1,Two or More Races 1,White 1,Missing Race/Ethnicity 1,IEP 1,LEP 1,Shelter 1,STH; Not Shelter 1
01M015,107,T,19,T,27,23,,,,,,,,,13,57,30,S,S,,24,T,T,21,S,S,S,S,S,S,,,,,,,,,,S,S,S,S,,S,S,S,S
01M019,35,S,S,7,11,10,,,,,,,,S,S,19,6,S,6,S,14,S,S,S,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,S,S,S,S,S
01M020,168,30,28,35,37,38,,,,,,,,S,40,89,21,S,12,S,35,19,6,8,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,S,S,S,S,S
01M034,63,15,6,S,S,8,14,12,S,,,,,S,S,35,23,,S,,14,S,S,8,S,S,S,S,S,S,S,S,S,,,,,S,S,S,S,,S,,S,S,S,S
01M063,90,T,T,17,15,13,,,,,,,,,S,59,17,T,6,S,29,S,S,8,S,S,S,S,S,S,,,,,,,,,,S,S,S,S,S,S,S,S,S
01M064,137,T,17,T,T,T,,,,,,,,S,S,105,26,S,S,S,46,S,T,17,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,S,S,S,S,S
01M110,152,33,40,26,25,28,,,,,,,,S,23,61,9,S,54,,22,S,S,10,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,,S,S,S,S
01M134,118,T,16,25,T,T,,,,,,,,S,T,67,35,S,S,S,56,S,T,T,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,S,S,S,S,S
01M140,144,8,8,21,23,11,31,17,25,,,,,S,S,116,23,S,S,S,67,10,8,16,S,S,S,S,S,S,S,S,S,,,,,S,S,S,S,S,S,S,S,S,S,S
01M142,175,41,36,30,33,35,,,,,,,,S,S,140,27,S,S,S,59,T,S,34,S,S,S,S,S,S,,,,,,,,S,S,S,S,S,S,S,S,S,S,S
